Data da Venda,Código Produto,Nome Produto,Categoria do Produto,Quantidade Vendido,Valor Unitário,Valor Total da Venda,Cidade da Loja,País da Loja,Vendedor
2023-07-17,95,Memória,Armazenamento,3,2047.51,6142.53,Coimbra,Portugal,André
2023-10-02,23,Cabo HDMI,Periféricos,1,1601.12,1601.12,Chicago,Estados Unidos,John
2023-02-20,80,Licença Office 365,Software,1,1228.27,1228.27,Rio de Janeiro,Brasil,Ana
2023-11-03,50,Mesa,Móveis,2,4531.99,9063.98,Chicago,Estados Unidos,John
2023-05-05,95,Memória,Armazenamento,7,1008.04,7056.28,Coimbra,Portugal,Miguel
2023-07-10,80,Licença Office 365,Software,6,694.73,4168.38,Porto,Portugal,Sofia
2023-06-15,80,Licença Office 365,Software,6,744.14,4464.84,Los Angeles,Estados Unidos,John
2024-01-24,22,Cabo Energia,Periféricos,10,1597.6,15976.0,Los Angeles,Estados Unidos,Alice
2023-07-01,40,Nobreak,Periféricos,9,2129.58,19166.22,São Paulo,Brasil,João
2024-01-14,24,Cabo Rede,Periféricos,9,2111.91,19007.19,Valencia,Espanha,María
2023-05-28,10,Mouse,Periféricos,9,644.8,5803.2,Rio de Janeiro,Brasil,Carlos
2023-08-22,22,Cabo Energia,Periféricos,7,2933.98,20537.86,New York,Estados Unidos,John
2023-12-15,24,Cabo Rede,Periféricos,10,3313.57,33135.7,Porto,Portugal,André
2024-01-29,35,Computador,Computadores,9,957.13,8614.17,Barcelona,Espanha,Carlos
2023-02-22,11,Teclado,Periféricos,3,3519.87,10559.61,Barcelona,Espanha,Carlos
2024-01-04,35,Computador,Computadores,10,4994.51,49945.1,Belo Horizonte,Brasil,João
2023-02-20,92,HD Sata,Armazenamento,2,4664.58,9329.16,Coimbra,Portugal,André
2023-06-25,95,Memória,Armazenamento,6,4286.5,25719.0,New York,Estados Unidos,John
2023-04-05,11,Teclado,Periféricos,6,2601.02,15606.12,Coimbra,Portugal,Sofia
2023-08-19,35,Computador,Computadores,9,4515.92,40643.28,Barcelona,Espanha,María
2023-04-15,96,Placa de Vídeo,Periféricos,4,4114.04,16456.16,São Paulo,Brasil,João
2023-06-30,80,Licença Office 365,Software,4,1387.28,5549.12,Madrid,Espanha,María
2023-03-24,35,Computador,Computadores,5,3620.48,18102.4,Chicago,Estados Unidos,Alice
2023-09-06,60,Cadeira,Móveis,7,2878.89,20152.23,Los Angeles,Estados Unidos,Alice
2023-04-20,22,Cabo Energia,Periféricos,8,465.47,3723.76,Porto,Portugal,André
2023-11-14,23,Cabo HDMI,Periféricos,7,4078.67,28550.69,Belo Horizonte,Brasil,João
2023-04-08,30,Notebook,Computadores,1,927.54,927.54,Coimbra,Portugal,Sofia
2023-05-05,24,Cabo Rede,Periféricos,3,3475.71,10427.13,Belo Horizonte,Brasil,Carlos
2023-09-04,95,Memória,Armazenamento,2,2565.71,5131.42,Coimbra,Portugal,Miguel
2023-12-16,80,Licença Office 365,Software,3,353.8,1061.4,Los Angeles,Estados Unidos,John
2023-10-11,30,Notebook,Computadores,6,3804.92,22829.52,Madrid,Espanha,Carlos
2023-06-20,20,Monitor,Monitores,6,3372.12,20232.72,Los Angeles,Estados Unidos,Bob
2023-12-25,35,Computador,Computadores,8,4840.38,38723.04,Chicago,Estados Unidos,John
2023-07-15,60,Cadeira,Móveis,3,1405.94,4217.82,Lisboa,Portugal,Sofia
2023-11-19,50,Mesa,Móveis,6,2117.46,12704.76,São Paulo,Brasil,Carlos
2023-04-17,50,Mesa,Móveis,10,4167.66,41676.6,New York,Estados Unidos,Bob
2023-03-19,60,Cadeira,Móveis,1,1125.18,1125.18,Valencia,Espanha,Carlos
2023-09-03,11,Teclado,Periféricos,2,3147.68,6295.36,Porto,Portugal,André
2023-05-11,20,Monitor,Monitores,10,2910.77,29107.7,Lisboa,Portugal,Miguel
2023-08-18,40,Nobreak,Periféricos,3,616.48,1849.44,Los Angeles,Estados Unidos,John
2023-09-28,40,Nobreak,Periféricos,9,844.6,7601.4,Madrid,Espanha,María
2023-11-13,10,Mouse,Periféricos,4,3214.0,12856.0,Los Angeles,Estados Unidos,John
2023-03-25,10,Mouse,Periféricos,1,1311.49,1311.49,Coimbra,Portugal,André
2023-11-29,22,Cabo Energia,Periféricos,8,4812.78,38502.24,Coimbra,Portugal,André
2023-08-30,80,Licença Office 365,Software,4,4974.39,19897.56,Chicago,Estados Unidos,John
2024-01-31,22,Cabo Energia,Periféricos,6,3332.35,19994.1,Coimbra,Portugal,André
2023-05-17,30,Notebook,Computadores,8,4913.37,39306.96,Coimbra,Portugal,Sofia
2023-04-11,96,Placa de Vídeo,Periféricos,2,1062.84,2125.68,Chicago,Estados Unidos,Bob
2024-01-07,96,Placa de Vídeo,Periféricos,5,2855.89,14279.45,Belo Horizonte,Brasil,João
2023-06-12,80,Licença Office 365,Software,8,2137.01,17096.08,Barcelona,Espanha,María
2023-04-08,35,Computador,Computadores,5,2101.8,10509.0,Lisboa,Portugal,André
2023-04-01,96,Placa de Vídeo,Periféricos,4,3353.13,13412.52,Madrid,Espanha,María
2023-10-19,22,Cabo Energia,Periféricos,3,3222.81,9668.43,Coimbra,Portugal,Miguel
2023-12-26,96,Placa de Vídeo,Periféricos,2,4042.89,8085.78,Coimbra,Portugal,André
2023-05-21,11,Teclado,Periféricos,10,3481.16,34811.6,Barcelona,Espanha,María
2023-03-30,11,Teclado,Periféricos,6,708.23,4249.38,Barcelona,Espanha,David
2023-03-01,96,Placa de Vídeo,Periféricos,1,2247.36,2247.36,São Paulo,Brasil,João
2023-08-20,35,Computador,Computadores,4,400.07,1600.28,Valencia,Espanha,María
2023-07-05,23,Cabo HDMI,Periféricos,6,1094.14,6564.84,Rio de Janeiro,Brasil,Ana
2023-10-13,90,HD SSD,Armazenamento,2,1212.59,2425.18,Belo Horizonte,Brasil,Carlos
2023-03-29,40,Nobreak,Periféricos,6,2263.8,13582.8,Belo Horizonte,Brasil,Carlos
2023-04-10,24,Cabo Rede,Periféricos,2,1579.59,3159.18,Chicago,Estados Unidos,John
2023-11-12,30,Notebook,Computadores,5,2737.72,13688.6,Lisboa,Portugal,Sofia
2023-10-30,20,Monitor,Monitores,6,323.83,1942.98,São Paulo,Brasil,João
2024-02-05,90,HD SSD,Armazenamento,6,4433.48,26600.88,Lisboa,Portugal,Sofia
2023-04-29,24,Cabo Rede,Periféricos,3,1113.58,3340.74,Chicago,Estados Unidos,Alice
2023-04-17,90,HD SSD,Armazenamento,6,3454.53,20727.18,Coimbra,Portugal,André
2023-05-07,90,HD SSD,Armazenamento,6,1066.26,6397.56,Rio de Janeiro,Brasil,Ana
2023-08-10,60,Cadeira,Móveis,1,378.85,378.85,Chicago,Estados Unidos,Bob
2024-02-02,92,HD Sata,Armazenamento,3,2276.01,6828.03,São Paulo,Brasil,Ana
2024-02-07,60,Cadeira,Móveis,3,4145.09,12435.27,São Paulo,Brasil,João
2023-03-02,95,Memória,Armazenamento,4,922.07,3688.28,Chicago,Estados Unidos,Alice
2023-04-17,60,Cadeira,Móveis,4,4624.65,18498.6,Coimbra,Portugal,Miguel
2023-08-31,11,Teclado,Periféricos,9,738.6,6647.4,Chicago,Estados Unidos,Bob
2023-05-17,30,Notebook,Computadores,7,3374.95,23624.65,Coimbra,Portugal,Sofia
2023-04-20,30,Notebook,Computadores,3,4605.31,13815.93,Valencia,Espanha,Carlos
2023-11-22,22,Cabo Energia,Periféricos,10,4724.37,47243.7,São Paulo,Brasil,Ana
2023-09-01,35,Computador,Computadores,6,681.4,4088.4,Chicago,Estados Unidos,John
2023-09-06,22,Cabo Energia,Periféricos,10,1516.26,15162.6,Rio de Janeiro,Brasil,Ana
2024-01-23,80,Licença Office 365,Software,4,2538.35,10153.4,Barcelona,Espanha,David
2023-07-08,24,Cabo Rede,Periféricos,5,3415.23,17076.15,Porto,Portugal,André
2023-09-01,40,Nobreak,Periféricos,8,4705.72,37645.76,São Paulo,Brasil,Carlos
2024-01-04,70,Licença Windows,Software,6,2670.13,16020.78,Chicago,Estados Unidos,John
2023-06-20,92,HD Sata,Armazenamento,6,278.27,1669.62,São Paulo,Brasil,Ana
2023-09-27,11,Teclado,Periféricos,5,3248.64,16243.2,Valencia,Espanha,María
2023-12-02,10,Mouse,Periféricos,6,2297.85,13787.1,São Paulo,Brasil,João
2023-07-06,35,Computador,Computadores,4,1735.42,6941.68,Lisboa,Portugal,Sofia
2023-11-22,10,Mouse,Periféricos,2,2027.75,4055.5,Porto,Portugal,Sofia
2023-07-31,70,Licença Windows,Software,10,3688.8,36888.0,Coimbra,Portugal,Sofia
2023-05-25,50,Mesa,Móveis,7,3971.14,27797.98,Los Angeles,Estados Unidos,Bob
2023-03-06,96,Placa de Vídeo,Periféricos,1,4638.44,4638.44,Barcelona,Espanha,Carlos
2023-11-02,95,Memória,Armazenamento,2,4243.1,8486.2,Chicago,Estados Unidos,John
2023-08-13,96,Placa de Vídeo,Periféricos,8,4164.92,33319.36,Barcelona,Espanha,David
2024-01-01,11,Teclado,Periféricos,2,3456.03,6912.06,Valencia,Espanha,Carlos
2024-01-26,10,Mouse,Periféricos,7,2622.93,18360.51,Los Angeles,Estados Unidos,Alice
2023-10-19,35,Computador,Computadores,9,3415.75,30741.75,Madrid,Espanha,David
2023-03-28,92,HD Sata,Armazenamento,7,3781.79,26472.53,Madrid,Espanha,Carlos
2023-09-16,10,Mouse,Periféricos,5,2114.34,10571.7,Lisboa,Portugal,André
2023-09-08,92,HD Sata,Armazenamento,10,1748.26,17482.6,Lisboa,Portugal,Miguel
2023-04-13,11,Teclado,Periféricos,6,4926.38,29558.28,Coimbra,Portugal,Miguel
2023-02-21,90,HD SSD,Armazenamento,3,432.76,1298.28,Rio de Janeiro,Brasil,Ana
2023-02-25,20,Monitor,Monitores,7,1416.51,9915.57,São Paulo,Brasil,Carlos
2023-07-15,95,Memória,Armazenamento,2,656.83,1313.66,Coimbra,Portugal,André
2023-05-01,70,Licença Windows,Software,5,484.5,2422.5,New York,Estados Unidos,John
2023-09-09,23,Cabo HDMI,Periféricos,9,4595.54,41359.86,Coimbra,Portugal,Miguel
2023-03-02,30,Notebook,Computadores,9,2195.7,19761.3,New York,Estados Unidos,Bob
2023-09-04,40,Nobreak,Periféricos,6,308.65,1851.9,Rio de Janeiro,Brasil,Ana
2024-01-30,92,HD Sata,Armazenamento,7,1156.59,8096.13,Barcelona,Espanha,Carlos
2024-01-23,24,Cabo Rede,Periféricos,8,2843.74,22749.92,Porto,Portugal,Miguel
2023-05-20,92,HD Sata,Armazenamento,9,3399.95,30599.55,Belo Horizonte,Brasil,Carlos
2023-05-09,22,Cabo Energia,Periféricos,7,2844.34,19910.38,Barcelona,Espanha,María
2023-07-01,95,Memória,Armazenamento,3,4619.0,13857.0,Valencia,Espanha,María
2023-04-22,60,Cadeira,Móveis,5,670.45,3352.25,Chicago,Estados Unidos,Bob
2023-09-24,11,Teclado,Periféricos,5,249.49,1247.45,Coimbra,Portugal,Sofia
2023-05-21,35,Computador,Computadores,2,4280.83,8561.66,Porto,Portugal,Miguel
2023-08-03,92,HD Sata,Armazenamento,1,2207.23,2207.23,Porto,Portugal,Sofia
2023-10-29,96,Placa de Vídeo,Periféricos,1,2380.64,2380.64,Porto,Portugal,André
2023-09-29,35,Computador,Computadores,6,3643.28,21859.68,Rio de Janeiro,Brasil,Ana
2023-12-21,11,Teclado,Periféricos,3,4510.7,13532.1,Lisboa,Portugal,Sofia
2023-07-28,20,Monitor,Monitores,1,3669.52,3669.52,Barcelona,Espanha,Carlos
2023-06-30,24,Cabo Rede,Periféricos,4,2798.44,11193.76,Belo Horizonte,Brasil,Ana
2023-04-04,70,Licença Windows,Software,3,3255.22,9765.66,Valencia,Espanha,Carlos
2023-06-22,22,Cabo Energia,Periféricos,9,4352.09,39168.81,Valencia,Espanha,Carlos
2023-04-17,30,Notebook,Computadores,2,4526.64,9053.28,Coimbra,Portugal,Miguel
2023-07-21,35,Computador,Computadores,5,362.17,1810.85,Lisboa,Portugal,André
2023-12-26,50,Mesa,Móveis,9,2049.35,18444.15,Chicago,Estados Unidos,John
2024-01-18,30,Notebook,Computadores,4,3291.57,13166.28,São Paulo,Brasil,Carlos
2023-08-06,60,Cadeira,Móveis,6,2966.2,17797.2,Lisboa,Portugal,Miguel
2023-12-13,11,Teclado,Periféricos,9,4004.39,36039.51,New York,Estados Unidos,Alice
2023-10-19,11,Teclado,Periféricos,9,1273.7,11463.3,Belo Horizonte,Brasil,Ana
2023-02-22,24,Cabo Rede,Periféricos,3,2036.12,6108.36,Porto,Portugal,Miguel
2023-07-27,11,Teclado,Periféricos,10,586.73,5867.3,Los Angeles,Estados Unidos,John
2023-10-14,96,Placa de Vídeo,Periféricos,8,3278.8,26230.4,Rio de Janeiro,Brasil,Carlos
2023-05-20,40,Nobreak,Periféricos,7,4679.14,32753.98,Los Angeles,Estados Unidos,Alice
2023-08-14,80,Licença Office 365,Software,10,2929.11,29291.1,Belo Horizonte,Brasil,Ana
2023-03-12,35,Computador,Computadores,1,2844.83,2844.83,Coimbra,Portugal,Miguel
2023-03-16,40,Nobreak,Periféricos,3,603.69,1811.07,New York,Estados Unidos,Bob
2024-01-17,20,Monitor,Monitores,4,2813.67,11254.68,Valencia,Espanha,María
2023-11-07,35,Computador,Computadores,2,2060.68,4121.36,Los Angeles,Estados Unidos,John
2023-10-22,40,Nobreak,Periféricos,9,3439.98,30959.82,New York,Estados Unidos,John
2023-11-14,80,Licença Office 365,Software,9,3986.13,35875.17,Belo Horizonte,Brasil,Ana
2023-03-20,22,Cabo Energia,Periféricos,5,2178.03,10890.15,Los Angeles,Estados Unidos,Bob
2023-10-01,96,Placa de Vídeo,Periféricos,1,1779.04,1779.04,Valencia,Espanha,Carlos
2023-05-07,70,Licença Windows,Software,8,4066.99,32535.92,Rio de Janeiro,Brasil,Carlos
2023-03-21,92,HD Sata,Armazenamento,4,4352.36,17409.44,Porto,Portugal,Miguel
2023-04-17,20,Monitor,Monitores,9,2266.36,20397.24,Valencia,Espanha,David
2023-09-01,50,Mesa,Móveis,4,3026.43,12105.72,Valencia,Espanha,María
2023-03-19,80,Licença Office 365,Software,3,140.69,422.07,Madrid,Espanha,David
2023-03-25,50,Mesa,Móveis,3,2933.16,8799.48,Porto,Portugal,André
2023-12-24,50,Mesa,Móveis,7,380.11,2660.77,Valencia,Espanha,María
2023-03-12,90,HD SSD,Armazenamento,7,3960.45,27723.15,Barcelona,Espanha,David
2024-02-05,70,Licença Windows,Software,5,3862.75,19313.75,New York,Estados Unidos,Bob
2023-05-03,90,HD SSD,Armazenamento,7,643.25,4502.75,Porto,Portugal,Sofia
2023-10-02,30,Notebook,Computadores,2,3826.0,7652.0,Madrid,Espanha,María
2023-10-14,70,Licença Windows,Software,9,769.12,6922.08,São Paulo,Brasil,João
2023-09-27,35,Computador,Computadores,6,1951.91,11711.46,Los Angeles,Estados Unidos,John
2023-08-25,60,Cadeira,Móveis,10,4945.55,49455.5,Rio de Janeiro,Brasil,Ana
2023-03-05,24,Cabo Rede,Periféricos,7,1547.71,10833.97,Belo Horizonte,Brasil,Carlos
2023-06-30,96,Placa de Vídeo,Periféricos,5,432.31,2161.55,New York,Estados Unidos,Alice
2023-06-27,95,Memória,Armazenamento,3,2911.33,8733.99,Barcelona,Espanha,María
2023-12-05,20,Monitor,Monitores,1,2837.74,2837.74,São Paulo,Brasil,João
2023-06-28,96,Placa de Vídeo,Periféricos,6,2704.45,16226.7,São Paulo,Brasil,Carlos
2023-09-24,96,Placa de Vídeo,Periféricos,3,1019.39,3058.17,New York,Estados Unidos,Bob
2023-08-15,30,Notebook,Computadores,6,2000.2,12001.2,Barcelona,Espanha,María
2023-05-18,80,Licença Office 365,Software,1,120.82,120.82,Lisboa,Portugal,André
2023-07-11,11,Teclado,Periféricos,10,4018.74,40187.4,Chicago,Estados Unidos,John
2023-12-04,96,Placa de Vídeo,Periféricos,1,3531.63,3531.63,Rio de Janeiro,Brasil,Carlos
2024-02-15,24,Cabo Rede,Periféricos,8,2958.06,23664.48,Barcelona,Espanha,Carlos
2023-07-25,23,Cabo HDMI,Periféricos,5,4784.34,23921.7,Belo Horizonte,Brasil,Ana
2024-01-03,50,Mesa,Móveis,9,2571.44,23142.96,São Paulo,Brasil,João
2023-09-23,80,Licença Office 365,Software,7,2693.62,18855.34,Porto,Portugal,Miguel
2023-08-14,96,Placa de Vídeo,Periféricos,5,1476.13,7380.65,Barcelona,Espanha,David
2023-07-04,35,Computador,Computadores,9,1652.78,14875.02,São Paulo,Brasil,Carlos
2023-09-28,30,Notebook,Computadores,10,3793.63,37936.3,New York,Estados Unidos,Alice
2023-06-15,24,Cabo Rede,Periféricos,8,1094.24,8753.92,Coimbra,Portugal,Sofia
2023-07-18,35,Computador,Computadores,5,742.88,3714.4,Porto,Portugal,Sofia
2023-07-19,20,Monitor,Monitores,5,123.88,619.4,São Paulo,Brasil,Carlos
2023-05-30,22,Cabo Energia,Periféricos,5,2671.6,13358.0,Rio de Janeiro,Brasil,João
2023-04-24,50,Mesa,Móveis,2,2141.72,4283.44,Madrid,Espanha,Carlos
2023-07-13,22,Cabo Energia,Periféricos,9,1711.34,15402.06,Valencia,Espanha,Carlos
2023-08-01,20,Monitor,Monitores,4,587.91,2351.64,São Paulo,Brasil,Carlos
2023-08-14,80,Licença Office 365,Software,2,4222.69,8445.38,Madrid,Espanha,Carlos
2023-02-16,90,HD SSD,Armazenamento,10,2380.91,23809.1,Coimbra,Portugal,Miguel
2023-02-21,35,Computador,Computadores,5,1134.22,5671.1,Barcelona,Espanha,Carlos
2023-12-22,50,Mesa,Móveis,6,2660.13,15960.78,Rio de Janeiro,Brasil,João
2023-09-18,92,HD Sata,Armazenamento,1,1698.88,1698.88,Coimbra,Portugal,Sofia
2023-07-23,20,Monitor,Monitores,8,2383.21,19065.68,Belo Horizonte,Brasil,João
2024-02-13,95,Memória,Armazenamento,2,410.07,820.14,Los Angeles,Estados Unidos,Bob
2023-12-13,80,Licença Office 365,Software,8,556.38,4451.04,Lisboa,Portugal,Miguel
2023-03-23,30,Notebook,Computadores,9,4974.87,44773.83,São Paulo,Brasil,Carlos
2023-04-26,22,Cabo Energia,Periféricos,5,3439.63,17198.15,Los Angeles,Estados Unidos,Bob
2023-06-15,24,Cabo Rede,Periféricos,7,3533.99,24737.93,Porto,Portugal,Sofia
2023-05-19,40,Nobreak,Periféricos,7,2138.0,14966.0,Lisboa,Portugal,Miguel
2023-06-23,80,Licença Office 365,Software,6,1973.99,11843.94,Coimbra,Portugal,Sofia
2023-05-19,11,Teclado,Periféricos,1,3724.68,3724.68,Lisboa,Portugal,Sofia
2023-03-25,30,Notebook,Computadores,8,4013.0,32104.0,Madrid,Espanha,David
2023-07-06,35,Computador,Computadores,8,1202.48,9619.84,Madrid,Espanha,Carlos
2023-11-20,92,HD Sata,Armazenamento,7,4116.15,28813.05,Belo Horizonte,Brasil,João
2023-12-10,24,Cabo Rede,Periféricos,5,4791.28,23956.4,New York,Estados Unidos,John
2023-12-18,95,Memória,Armazenamento,4,4093.81,16375.24,Lisboa,Portugal,Miguel
2023-03-06,96,Placa de Vídeo,Periféricos,10,1698.48,16984.8,New York,Estados Unidos,Alice
2023-07-07,24,Cabo Rede,Periféricos,6,3583.88,21503.28,Rio de Janeiro,Brasil,Carlos
2023-09-11,20,Monitor,Monitores,6,3777.78,22666.68,Belo Horizonte,Brasil,Carlos
2023-11-16,80,Licença Office 365,Software,4,4791.75,19167.0,Los Angeles,Estados Unidos,Bob
2023-05-28,92,HD Sata,Armazenamento,2,3716.17,7432.34,Chicago,Estados Unidos,Bob
2023-11-30,95,Memória,Armazenamento,8,3975.86,31806.88,Coimbra,Portugal,Miguel
2023-10-10,80,Licença Office 365,Software,5,1383.69,6918.45,Lisboa,Portugal,Miguel
2023-03-13,70,Licença Windows,Software,9,2329.22,20962.98,Belo Horizonte,Brasil,Carlos
2023-12-16,30,Notebook,Computadores,8,4756.93,38055.44,Madrid,Espanha,María
2023-03-26,20,Monitor,Monitores,6,2404.34,14426.04,Barcelona,Espanha,Carlos
2024-02-08,23,Cabo HDMI,Periféricos,3,4468.88,13406.64,Chicago,Estados Unidos,Bob
2023-10-12,95,Memória,Armazenamento,4,4242.1,16968.4,Rio de Janeiro,Brasil,Ana
2023-04-02,92,HD Sata,Armazenamento,9,1951.3,17561.7,Porto,Portugal,Miguel
2023-08-20,95,Memória,Armazenamento,10,1017.49,10174.9,Lisboa,Portugal,André
2023-04-26,23,Cabo HDMI,Periféricos,6,2868.7,17212.2,New York,Estados Unidos,Bob
2023-09-18,70,Licença Windows,Software,9,2117.66,19058.94,Porto,Portugal,Miguel
2024-01-21,96,Placa de Vídeo,Periféricos,10,1949.16,19491.6,New York,Estados Unidos,Alice
2023-04-30,20,Monitor,Monitores,9,1735.68,15621.12,Chicago,Estados Unidos,John
2023-12-02,35,Computador,Computadores,6,1619.75,9718.5,Porto,Portugal,Sofia
2023-10-10,22,Cabo Energia,Periféricos,4,201.11,804.44,Madrid,Espanha,David
2023-09-07,11,Teclado,Periféricos,10,4075.96,40759.6,Rio de Janeiro,Brasil,Carlos
2023-05-01,11,Teclado,Periféricos,7,378.83,2651.81,Madrid,Espanha,María
2023-11-11,60,Cadeira,Móveis,3,3432.88,10298.64,New York,Estados Unidos,Alice
2023-12-31,30,Notebook,Computadores,8,3833.06,30664.48,Lisboa,Portugal,André
2024-01-31,96,Placa de Vídeo,Periféricos,6,402.14,2412.84,New York,Estados Unidos,Bob
2023-11-28,90,HD SSD,Armazenamento,2,3708.01,7416.02,Belo Horizonte,Brasil,Ana
2023-10-21,40,Nobreak,Periféricos,1,1645.84,1645.84,Barcelona,Espanha,María
2023-11-02,96,Placa de Vídeo,Periféricos,4,3548.23,14192.92,Rio de Janeiro,Brasil,Ana
2023-09-14,60,Cadeira,Móveis,5,2353.66,11768.3,Barcelona,Espanha,Carlos
2023-08-09,95,Memória,Armazenamento,1,1024.41,1024.41,Madrid,Espanha,María
2023-09-07,20,Monitor,Monitores,1,3970.01,3970.01,Los Angeles,Estados Unidos,Bob
2023-07-06,96,Placa de Vídeo,Periféricos,8,773.26,6186.08,Los Angeles,Estados Unidos,Alice
2023-09-14,22,Cabo Energia,Periféricos,7,1885.05,13195.35,Rio de Janeiro,Brasil,João
2023-05-28,10,Mouse,Periféricos,2,1089.45,2178.9,Los Angeles,Estados Unidos,Bob
2023-06-25,80,Licença Office 365,Software,10,1766.98,17669.8,Rio de Janeiro,Brasil,João
2023-11-14,11,Teclado,Periféricos,4,1759.38,7037.52,Chicago,Estados Unidos,Alice
2024-02-13,60,Cadeira,Móveis,3,1638.33,4914.99,São Paulo,Brasil,Carlos
2023-06-17,35,Computador,Computadores,5,2948.34,14741.7,Los Angeles,Estados Unidos,John
2023-10-05,35,Computador,Computadores,5,985.87,4929.35,Belo Horizonte,Brasil,Carlos
2023-07-21,50,Mesa,Móveis,2,1319.72,2639.44,Belo Horizonte,Brasil,Ana
2023-08-23,80,Licença Office 365,Software,4,3797.4,15189.6,São Paulo,Brasil,João
2024-01-21,95,Memória,Armazenamento,3,4350.79,13052.37,Porto,Portugal,Sofia
2023-12-23,70,Licença Windows,Software,9,1613.48,14521.32,Barcelona,Espanha,María
2023-09-29,60,Cadeira,Móveis,1,84.27,84.27,New York,Estados Unidos,John
2023-05-05,22,Cabo Energia,Periféricos,10,3218.38,32183.8,Los Angeles,Estados Unidos,Bob
2023-11-04,35,Computador,Computadores,6,3025.7,18154.2,Lisboa,Portugal,Sofia
2023-11-01,10,Mouse,Periféricos,4,3256.72,13026.88,Barcelona,Espanha,Carlos
2023-06-29,92,HD Sata,Armazenamento,9,867.02,7803.18,Barcelona,Espanha,María
2023-05-31,30,Notebook,Computadores,5,3135.07,15675.35,Rio de Janeiro,Brasil,Ana
2024-01-03,35,Computador,Computadores,8,1540.98,12327.84,Chicago,Estados Unidos,Bob
2023-06-03,96,Placa de Vídeo,Periféricos,6,2844.82,17068.92,Madrid,Espanha,María
2023-07-10,90,HD SSD,Armazenamento,5,2118.19,10590.95,Chicago,Estados Unidos,Bob
2023-12-29,23,Cabo HDMI,Periféricos,4,3805.71,15222.84,Valencia,Espanha,David
2023-04-03,30,Notebook,Computadores,1,2783.05,2783.05,Rio de Janeiro,Brasil,João
2023-06-22,30,Notebook,Computadores,5,3352.61,16763.05,Barcelona,Espanha,David
2023-03-17,10,Mouse,Periféricos,1,1807.63,1807.63,Barcelona,Espanha,Carlos
2023-05-01,96,Placa de Vídeo,Periféricos,8,1575.72,12605.76,Lisboa,Portugal,Miguel
2023-10-12,30,Notebook,Computadores,4,599.12,2396.48,New York,Estados Unidos,Alice
